Using device: cuda
Class names: ['glioma', 'meningioma', 'notumor', 'pituitary']
Train samples: 5141, Val samples: 571, Test samples: 1311
Showing sample training batch...

================================================================================
Training model: SimpleCNN
================================================================================
Epoch 1/500 | train_loss: 0.8607 train_acc: 0.6485 | val_loss: 1.3642 val_acc: 0.4939 | time: 27.5s
Epoch 2/500 | train_loss: 0.7083 train_acc: 0.7199 | val_loss: 0.8274 val_acc: 0.6725 | time: 27.5s
Epoch 3/500 | train_loss: 0.6508 train_acc: 0.7403 | val_loss: 0.8538 val_acc: 0.6287 | time: 23.3s
Epoch 4/500 | train_loss: 0.6148 train_acc: 0.7615 | val_loss: 0.6034 val_acc: 0.7215 | time: 25.5s
Epoch 5/500 | train_loss: 0.5817 train_acc: 0.7773 | val_loss: 1.0202 val_acc: 0.6567 | time: 27.7s
Epoch 6/500 | train_loss: 0.5440 train_acc: 0.7930 | val_loss: 0.5189 val_acc: 0.7986 | time: 23.1s
Epoch 7/500 | train_loss: 0.5110 train_acc: 0.8049 | val_loss: 0.9017 val_acc: 0.6602 | time: 26.3s
Epoch 8/500 | train_loss: 0.4530 train_acc: 0.8255 | val_loss: 0.3420 val_acc: 0.8687 | time: 25.7s
Epoch 9/500 | train_loss: 0.4336 train_acc: 0.8401 | val_loss: 0.3754 val_acc: 0.8459 | time: 29.7s
Epoch 10/500 | train_loss: 0.4174 train_acc: 0.8469 | val_loss: 0.3372 val_acc: 0.8774 | time: 27.0s
Epoch 11/500 | train_loss: 0.4082 train_acc: 0.8473 | val_loss: 0.3369 val_acc: 0.8757 | time: 23.7s
Epoch 12/500 | train_loss: 0.4144 train_acc: 0.8438 | val_loss: 0.3744 val_acc: 0.8704 | time: 24.8s
Epoch 13/500 | train_loss: 0.3946 train_acc: 0.8539 | val_loss: 0.3181 val_acc: 0.8914 | time: 27.3s
Epoch 14/500 | train_loss: 0.3824 train_acc: 0.8598 | val_loss: 0.3491 val_acc: 0.8687 | time: 25.9s
Epoch 15/500 | train_loss: 0.3847 train_acc: 0.8557 | val_loss: 0.3166 val_acc: 0.8704 | time: 26.0s
Epoch 16/500 | train_loss: 0.3740 train_acc: 0.8635 | val_loss: 0.2958 val_acc: 0.8809 | time: 27.1s
Epoch 17/500 | train_loss: 0.3899 train_acc: 0.8590 | val_loss: 0.3071 val_acc: 0.8879 | time: 25.7s
Epoch 18/500 | train_loss: 0.3668 train_acc: 0.8629 | val_loss: 0.2978 val_acc: 0.8897 | time: 27.8s
Epoch 19/500 | train_loss: 0.3677 train_acc: 0.8699 | val_loss: 0.2918 val_acc: 0.8827 | time: 25.2s
Epoch 20/500 | train_loss: 0.3731 train_acc: 0.8607 | val_loss: 0.3007 val_acc: 0.8914 | time: 23.8s
Epoch 21/500 | train_loss: 0.3727 train_acc: 0.8648 | val_loss: 0.3104 val_acc: 0.8792 | time: 26.7s
Epoch 22/500 | train_loss: 0.3779 train_acc: 0.8625 | val_loss: 0.2988 val_acc: 0.8897 | time: 27.7s
Epoch 23/500 | train_loss: 0.3641 train_acc: 0.8640 | val_loss: 0.3072 val_acc: 0.8827 | time: 24.9s
